iter	RMSE
144	5231.762414
145	5215.206535
146	5202.239821
147	5187.29539
148	5182.509617
149	5167.129282
150	5146.262696
151	5132.875685
152	5118.51803
153	5103.216199
154	5094.107242
155	5076.549149
156	5075.004891
157	5067.824938
158	5058.11762
159	5042.777953
160	5028.374233
161	5018.241054
162	5005.698496
163	4999.444237
164	4995.83325
165	4979.442966
166	4971.46067
167	4962.119033
168	4951.810012
169	4945.307364
170	4931.410586
171	4917.303566
172	4909.425435
173	4903.911303
174	4892.097095
175	4878.308358
176	4869.40914
177	4854.387466
178	4842.50204
179	4827.688146
180	4816.981902
181	4808.750821
182	4797.502505
183	4789.432228
184	4775.161714
185	4764.151113
186	4754.3245
187	4741.741191
188	4736.837407
189	4724.017762
190	4715.998893
191	4707.918717
192	4698.94214
193	4689.620035
194	4677.9334
195	4670.446364
196	4667.712823
197	4659.474733
198	4654.012417
199	4644.270459
200	4641.26986
201	4636.409033
202	4630.036566
203	4627.0481
204	4618.530479
205	4607.534776
206	4600.463875
207	4593.626192
208	4588.363854
209	4577.618921
210	4561.72675
211	4557.324672
212	4553.135567
213	4546.373032
214	4536.528585
215	4527.060717
216	4524.779878
217	4510.819742
218	4500.975087
219	4490.427417
220	4485.235807
221	4480.918749
222	4472.122477
223	4466.324962
224	4459.886552
225	4457.219753
226	4451.072249
227	4447.118578
228	4435.011151
229	4423.843862
230	4416.417139
231	4409.464001
232	4392.414833
233	4390.526645
234	4381.180138
235	4369.676468
236	4361.081403
237	4354.5311
238	4341.386448
239	4339.247494
240	4336.452186
241	4333.321095
242	4330.591872
243	4326.185
244	4324.335298
245	4321.267401
246	4318.350615
247	4303.842234
248	4295.127016
249	4281.312386
250	4279.811125
251	4277.945834
252	4265.269
253	4257.717751
254	4248.933193
255	4246.999161
256	4238.504648
257	4236.440377
258	4234.674382
259	4232.808242
260	4223.980688
261	4213.136137
262	4211.945894
263	4201.706296
264	4191.378357
265	4181.258046
266	4173.262212
267	4163.987271
268	4162.417786
269	4147.993038
270	4138.897632
271	4127.218895
272	4123.025946
273	4117.751699
274	4116.558905
275	4114.213907
276	4103.063071
277	4101.707375
278	4100.449735
279	4085.835326
280	4084.563779
281	4069.294135
282	4059.210712
283	4044.106127
284	4036.951537
285	4025.792425
286	4018.446579
287	4016.885313
288	3998.345161
289	3997.204134
290	3990.682573
291	3986.854771
292	3977.818518
293	3964.489402
294	3963.386576
295	3954.099883
296	3952.830548
297	3941.377405
298	3934.202852
299	3928.475682
300	3927.561807
301	3920.03263
302	3915.134875
303	3900.501449
304	3893.992146
305	3888.22933
306	3881.365838
307	3867.353368
308	3862.337735
309	3854.180544
310	3849.902627
311	3841.780571
312	3832.14008
313	3823.204182
314	3817.527147
315	3808.735738
316	3800.83417
317	3799.799743
318	3789.222437
319	3783.56481
320	3782.55336
321	3773.501211
322	3756.409012
323	3755.56341
324	3745.067261
325	3733.681178
326	3732.739187
327	3731.887994
328	3714.367143
329	3707.642805
330	3695.760252
331	3679.070861
332	3673.550402
333	3668.402083
334	3659.124331
335	3658.30937
336	3652.613497
337	3651.74059
338	3645.672277
339	3639.399759
340	3630.739784
341	3624.09114
342	3614.568044
343	3605.135993
344	3602.458051
345	3592.249831
346	3583.054222
347	3570.261303
348	3563.194483
349	3557.515519
350	3553.975372
351	3542.43817
352	3532.725638
353	3529.245538
354	3524.388129
355	3521.285656
356	3516.294841
357	3506.159339
358	3494.810571
359	3493.82679
360	3483.948261
361	3478.975367
362	3470.742093
363	3469.795482
364	3462.904225
365	3462.024389
366	3452.208518
367	3442.754121
368	3436.994675
369	3427.35774
370	3424.815457
371	3424.021726
372	3416.842466
373	3406.804372
374	3398.937336
375	3392.141519
376	3378.634457
377	3373.136109
378	3366.722921
379	3360.173422
380	3349.611669
381	3348.968152
382	3341.522036
383	3331.874916
384	3330.8681
385	3325.169874
386	3321.737876
387	3315.520023
388	3312.435457
389	3307.975882
390	3307.374762
391	3306.674179
392	3301.39082
393	3296.323257
394	3286.964159
395	3279.661754
396	3276.874756
397	3273.373146
398	3266.01674
399	3256.386256
400	3251.757244
401	3248.662044
402	3239.941171
403	3231.202105
404	3225.020278
405	3216.333391
406	3206.134058
407	3197.871468
408	3196.207681
409	3187.728643
410	3183.163398
411	3172.956267
412	3172.168754
413	3164.539028
414	3160.871142
415	3152.75615
416	3152.069339
417	3140.192042
418	3135.510917
419	3132.260406
420	3127.240887
421	3118.820745
422	3116.10662
423	3115.422813
424	3100.328414
425	3093.09229
426	3077.192136
427	3076.442293
428	3075.614214
429	3073.096248
430	3065.971301
431	3059.703184
432	3052.693385
433	3050.003127
434	3043.905265
435	3030.097882
436	3023.233466
437	3015.937106
438	3008.34772
439	2998.276055
440	2991.109808
441	2977.952194
442	2977.338359
443	2971.180417
444	2964.876887
445	2959.591917
446	2958.806031
447	2958.097176
448	2954.135198
449	2952.608343
450	2939.332821
451	2935.006122
452	2923.500274
453	2921.203777
454	2916.265115
455	2907.136711
456	2905.649103
457	2903.708034
458	2897.95376
459	2892.061763
460	2885.629203
461	2880.69398
462	2872.647632
463	2865.5601
464	2853.939898
465	2848.385995
466	2841.895282
467	2833.600226
468	2825.454191
469	2824.827033
470	2822.255043
471	2818.067902
472	2817.527139
473	2805.635062
474	2796.087767
475	2795.540114
476	2792.988992
477	2792.528011
478	2788.958587
479	2781.457495
480	2780.774947
481	2773.949522
482	2765.939854
483	2760.391404
484	2751.494862
485	2751.070151
486	2741.524042
487	2737.362278
488	2735.671963
489	2725.0718
490	2717.663241
491	2715.918992
492	2715.327035
493	2704.354944
494	2695.561079
495	2687.544655
496	2679.261631
497	2677.920602
498	2677.229248
499	2672.658879
500	2668.82868
501	2660.213159
502	2659.552312
503	2659.122158
504	2655.248766
505	2650.779758
506	2648.52176
507	2648.104157
508	2642.876462
509	2638.073559
510	2633.682165
511	2627.139836
512	2618.39923
513	2615.347733
514	2609.146679
515	2602.080754
516	2597.937557
517	2592.907219
518	2588.181926
519	2581.65744
520	2577.568747
521	2577.168285
522	2570.036316
523	2569.635235
524	2564.042108
525	2563.5559
526	2562.862904
527	2562.458445
528	2554.693318
529	2547.117388
530	2539.46015
531	2539.068275
532	2529.999578
533	2521.354059
534	2518.036641
535	2516.297886
536	2510.143332
537	2504.147745
538	2501.10303
539	2499.196968
540	2498.754813
541	2498.453879
542	2492.535653
543	2481.659758
544	2480.738623
545	2480.254824
546	2479.076323
547	2471.524845
548	2470.915211
549	2464.9769
550	2461.348271
551	2452.293159
552	2451.971025
553	2448.554285
554	2442.908297
555	2432.519833
556	2427.060181
557	2424.801741
558	2416.85927
559	2410.461898
560	2410.027635
561	2408.924556
562	2404.92282
563	2397.297836
564	2391.17196
565	2388.965594
566	2381.575511
567	2378.151604
568	2373.932733
569	2370.23731
570	2362.518334
571	2361.419379
572	2360.730679
573	2356.427936
574	2351.635447
575	2348.395799
576	2348.024067
577	2347.582784
578	2339.23625
579	2329.85377
580	2326.033252
581	2316.377125
582	2308.554593
583	2304.744848
584	2302.540433
585	2297.424282
586	2296.342051
587	2294.409758
588	2287.502189
589	2285.675492
590	2277.085725
591	2272.018587
592	2269.545464
593	2268.2308
594	2267.713311
595	2265.084042
596	2264.695659
597	2261.084309
598	2260.521968
599	2260.245866
600	2254.980134
601	2253.072967
602	2252.312262
603	2249.071638
604	2248.275876
605	2244.247217
606	2240.685827
607	2232.263599
608	2231.377478
609	2227.551307
610	2221.921685
611	2214.940907
612	2207.932992
613	2202.575483
614	2200.5673
615	2198.877593
616	2198.499203
617	2191.756869
618	2190.905419
619	2186.69635
620	2185.075703
621	2180.429416
622	2173.85753
623	2170.15436
624	2163.014717
625	2157.180323
626	2154.227712
627	2147.607447
628	2137.839039
629	2136.736232
630	2128.491306
631	2127.988181
632	2124.457686
633	2118.139325
634	2109.624333
635	2109.413566
636	2103.892891
637	2098.176306
638	2095.356424
639	2091.060602
640	2086.567437
641	2082.215162
642	2081.017695
643	2077.196691
644	2075.75822
645	2072.931528
646	2067.451672
647	2061.167657
648	2056.002296
649	2052.338029
650	2047.161174
651	2044.80366
652	2042.863601
653	2037.011897
654	2035.56666
655	2031.995035
656	2028.267761
657	2027.823113
658	2022.339385
659	2021.690021
660	2020.902614
661	2019.439196
662	2013.767149
663	2008.948688
664	2007.592963
665	2002.917461
666	1999.606544
667	1993.455041
668	1992.219217
669	1986.953815
670	1982.132606
671	1981.505423
672	1981.187447
673	1980.8122
674	1980.483909
675	1976.952362
676	1973.747682
677	1970.356181
678	1969.95989
679	1964.333218
680	1962.749309
681	1962.37487
682	1959.747824
683	1956.519604
684	1955.807025
685	1952.909668
686	1947.83361
687	1947.481909
688	1947.003199
689	1942.352045
690	1938.291621
691	1935.791934
692	1935.372288
693	1934.797548
694	1931.799031
695	1931.213234
696	1927.679852
697	1923.472273
698	1918.298563
699	1914.695616
700	1911.737665
701	1902.607643
702	1897.699846
703	1897.458595
704	1893.185336
705	1889.65228
706	1886.668439
707	1885.504553
708	1884.991019
709	1881.224209
710	1877.587155
711	1877.051448
712	1875.936551
713	1875.74437
714	1873.090293
715	1872.854057
716	1872.039227
717	1871.793112
718	1869.249227
719	1864.64121
720	1858.797666
721	1854.042239
722	1850.209679
723	1845.415454
724	1840.215519
725	1838.889347
726	1836.003326
727	1833.093821
728	1832.082679
729	1828.316121
730	1823.349618
731	1818.021844
732	1815.215216
733	1812.672244
734	1809.092567
735	1808.581663
736	1802.146475
737	1797.483165
738	1795.810158
739	1795.089184
740	1789.894455
741	1787.501196
742	1779.599689
743	1779.369061
744	1779.144713
745	1776.176265
746	1775.586364
747	1770.889237
748	1765.969512
749	1765.557832
750	1763.522245
751	1763.273866
752	1759.944542
753	1756.699524
754	1756.258648
755	1755.851386
756	1752.33383
757	1751.662728
758	1747.679763
759	1743.799971
760	1737.989649
761	1733.401538
762	1729.776516
763	1727.971273
764	1727.375678
765	1722.975235
766	1722.746835
767	1719.568443
768	1716.127749
769	1715.976259
770	1714.875272
771	1712.096098
772	1710.116367
773	1709.890624
774	1704.449139
775	1704.246892
776	1702.581113
777	1702.258068
778	1701.888876
779	1696.809283
780	1694.502875
781	1690.827894
782	1690.404775
783	1687.593559
784	1681.600744
785	1676.701955
786	1676.332624
787	1674.093538
788	1670.555923
789	1664.295289
790	1662.275306
791	1659.348697
792	1654.736597
793	1651.179194
794	1649.644185
795	1646.965898
796	1644.494574
797	1642.522773
798	1640.567536
799	1640.341481
800	1640.067851
801	1636.914953
802	1632.926023
803	1629.520695
804	1628.506515
805	1624.479038
806	1616.826593
807	1615.395951
808	1612.132306
809	1606.831672
810	1602.54906
811	1598.741212
812	1593.54286
813	1593.200237
814	1590.455335
815	1587.47929
816	1587.325222
817	1586.943916
818	1582.865081
819	1578.804242
820	1578.26194
821	1576.037742
822	1574.514111
823	1570.229694
824	1569.668704
825	1569.287715
826	1569.123187
827	1563.860562
828	1563.686415
829	1561.499977
830	1558.751744
831	1556.517617
832	1555.16075
833	1552.598172
834	1547.622036
835	1545.36243
836	1545.099208
837	1544.928266
838	1544.655665
839	1540.851659
840	1539.488537
841	1536.93934
842	1532.363653
843	1531.454063
844	1528.60991
845	1525.741784
846	1524.97747
847	1521.324261
848	1521.065078
849	1520.749554
850	1519.168363
851	1515.409993
852	1514.187392
853	1511.914835
854	1511.578372
855	1511.298213
856	1507.862923
857	1505.253224
858	1505.086928
859	1502.469082
860	1500.426314
861	1499.921255
862	1495.964279
863	1495.733761
864	1492.281871
865	1492.122833
866	1487.973098
867	1487.690246
868	1485.418216
869	1483.692897
870	1479.010927
871	1478.853147
872	1476.103608
873	1475.85646
874	1474.973704
875	1473.879919
876	1473.14279
877	1471.630103
878	1470.35004
879	1470.192213
880	1469.168596
881	1468.947462
882	1467.903865
883	1466.603145
884	1464.457173
885	1462.084983
886	1460.310997
887	1455.994976
888	1454.093967
889	1453.94699
890	1452.116605
891	1448.230821
892	1447.404724
893	1447.040315
894	1444.66066
895	1444.541322
896	1443.520172
897	1440.928948
898	1436.555587
899	1436.191242
900	1433.633349
901	1429.960439
902	1427.635701
903	1427.392097
904	1425.397186
905	1423.086098
906	1418.987699
907	1414.305194
908	1413.449243
909	1409.180532
910	1408.968608
911	1405.034257
912	1404.544244
913	1399.189148
914	1396.476368
915	1392.851691
916	1392.70416
917	1389.803692
918	1387.569414
919	1384.616505
920	1381.029444
921	1378.744217
922	1375.179255
923	1373.073222
924	1370.248875
925	1370.149863
926	1369.954734
927	1369.778414
928	1369.525387
929	1367.972963
930	1365.670733
931	1365.47047
932	1362.978988
933	1360.725527
934	1358.404922
935	1358.145529
936	1357.953554
937	1353.86316
938	1353.728393
939	1353.248608
940	1350.833412
941	1348.560837
942	1346.428141
943	1344.978156
944	1343.270422
945	1341.090037
946	1338.917801
947	1332.549058
948	1329.572062
949	1328.716499
950	1328.561579
951	1328.405357
952	1325.907346
953	1321.616854
954	1319.218097
955	1318.106927
956	1317.049219
957	1312.37988
958	1309.015093
959	1306.341965
960	1306.173068
961	1302.116399
962	1298.583564
963	1298.44886
964	1296.457637
965	1295.60815
966	1291.495748
967	1289.26564
968	1286.611351
969	1283.749556
970	1282.698035
971	1281.428664
972	1279.372339
973	1275.85046
974	1274.665222
975	1274.541848
976	1273.420442
977	1269.278191
978	1267.522962
979	1266.252834
980	1264.355289
981	1264.158666
982	1264.010871
983	1262.346633
984	1257.290893
985	1257.101602
986	1256.57753
987	1253.852453
988	1252.077192
989	1248.837078
990	1248.495956
991	1244.964102
992	1244.648914
993	1242.483689
994	1240.465314
995	1239.521251
996	1235.511017
997	1232.40079
998	1229.978383
999	1227.557999
